refno,type,text
vetalkatha_vetalkatha_L750,prose,"एतत् दृष्टवान् भद्रवर्मा कोपम् असहमानः - ""भोः राजकुमार! एतत् तु अन्याय्यम् अस्ति।"
vetalkatha_vetalkatha_L751,prose,वृक्षम् आरोढुम् भवतः क्षमता न अस्ति।
vetalkatha_vetalkatha_L752,prose,अतः मन्त्रतन्त्रम् आश्रित्य भवान् फलम् आनीतवान्।
vetalkatha_vetalkatha_L753,prose,एतादृशम्  अनुचितम्  कार्यम्  कर्तुम्  किम्  भवतः लज्जा न भवति? क्षत्रियकुलजाताः कदापि कार्यसाधनार्थम्  वाममार्गम्  न आश्रयन्ति।
vetalkatha_vetalkatha_L754,prose,किन्तु भवता तदेव कृतम्।
vetalkatha_vetalkatha_L755,prose,धिक् भवन्तम्।
vetalkatha_vetalkatha_L756,prose,यदि धैर्यम् अस्ति तर्हि रणरङ्गे स्थित्वा युद्धम् करोतु।
vetalkatha_vetalkatha_L757,prose,तदा एव क्षत्रियाणाम् महत्त्वम् प्रमाणितम् भवति।
vetalkatha_vetalkatha_L758,prose,"परन्तु कुयुक्त्या यत् क्रियते तत् वीरस्य शोभाकरम् न"" इति क्रोधमिश्रितस्वरेण उच्चैः वदन् वृक्षतः अवतरन् अधः पतितवान्।"
vetalkatha_vetalkatha_L759,prose,तदा भद्रवर्मणः पादस्य अस्थिभङ्गः जातः।
vetalkatha_vetalkatha_L760,prose,एतस्मात् कारणात् मासत्रयम् यावत् सः चलितुम् न शक्तवान्।
vetalkatha_vetalkatha_L761,prose,एतादृशघटनानन्तरम् हिमकरः ज्ञातवान् यत् - 'काचित् अदृष्टशक्तिः मम साहाय्यम् करोति।
vetalkatha_vetalkatha_L762,prose,तस्मात् ये माम् निन्दन्ति तेषाम् दण्डनम् भवति।
vetalkatha_vetalkatha_L763,prose,एतावत् पर्यन्तम् प्रवृत्ताः घटनाः एव अत्र प्रमाणम्' इति।
vetalkatha_vetalkatha_L764,prose,याः घटनाः घटिताः ताः सर्वाः काकतालीयाः न इति तस्य मनः वदति स्म।
vetalkatha_vetalkatha_L765,prose,'माम् ये द्विषन्ति ते सर्वे कष्टम् अनुभविष्यन्ति' इति दृढविश्वासः हिमकरे उत्पन्नः।
vetalkatha_vetalkatha_L766,prose,"राजकुमारः मन्त्रिणः पुत्र्याम् चारुमत्याम् अनुरक्तः इति ज्ञातवान् राजा एकदा हिमकरम् उक्तवान् - ""भवतः पट्टाभिषेकः करणीयः इति चिन्तितवान् अस्मि अहम्।"
vetalkatha_vetalkatha_L767,prose,तस्मिन् समये एव भवतः विवाहः भविष्यति चेदपि वरम् एव।
vetalkatha_vetalkatha_L768,prose,"एतस्मिन् विषये मन्त्रिणा सह चर्चाम् करोमि किम्?"" इति।"
vetalkatha_vetalkatha_L769,prose,स्वपिता स्वस्य मनोभिलाषम् अवगतवान् इति ज्ञात्वा हिमकरः सम्मतिपूर्वकम् मन्दहासम् प्रकटितवान्।
vetalkatha_vetalkatha_L770,prose,अन्याम् राजकुमारीम् परिणयतु इति पिता अनुरोधम् न कृतवान् इत्यतः हिमकरः अतीव सन्तुष्टः अभवत्।
vetalkatha_vetalkatha_L771,prose,"एताम् शुभवार्ताम् चारुमतीम् श्रावयितुम् इच्छन् हिमकरः - ""सायङ्काले नदीविहारार्थम् आगच्छतु"" इति वार्ताम् चारुमत्यै प्रेषितवान्।"
vetalkatha_vetalkatha_L772,prose,एताम् वार्ताम् प्राप्तवती चारुमती सायङ्काले निश्चितसमये नदीसमीपम् आगतवती।
vetalkatha_vetalkatha_L773,prose,परन्तु अनिरीक्षितरूपेण भद्रवर्मा अपि तया सह नदीविहारार्थम् प्रस्थितवान् आसीत्।
vetalkatha_vetalkatha_L774,prose,अतः त्रयः अपि उडुपेन लघुद्वीपम् प्रति प्रस्थितवन्तः।
vetalkatha_vetalkatha_L775,prose,विहारम् समाप्य प्रत्यागमनसमये उभौ अपि स्वपितुः निर्णयम् श्रावितवान् हिमकरः।
vetalkatha_vetalkatha_L776,prose,एतम् विषयम् ज्ञात्वा भद्रवर्मा नितराम् सन्तुष्टः भविष्यति इति हिमकरः भावितवान् आसीत्।
vetalkatha_vetalkatha_L777,prose,यतः भद्रवर्मा अपि चारुमत्याम् अनुरक्तः अस्ति इति सः न जानाति स्म।
vetalkatha_vetalkatha_L778,prose,यदि तथा अज्ञास्यत् तर्हि तस्मिन् समये स्वविवाहविषयम् सः न अवदिष्यत् एव।
vetalkatha_vetalkatha_L779,prose,भद्रवर्मा शीघ्रकोपी निर्भयः च।
vetalkatha_vetalkatha_L780,prose,"सः आघातकरम् एतम् विवाहप्रस्तावम् श्रुत्वा महता कोपेन हिमकरम् दूषितवान् - ""भवान् राजकुमारः इति कारणतः स्वस्य अधिकारस्य दुरुपयोगम् कुर्वन् अस्ति।"
vetalkatha_vetalkatha_L781,prose,अहम् चारुमत्याम् अनुरक्तः इति भवान् जानन् अपि ताम् परिणेतुम् उद्युक्तः अस्ति।
vetalkatha_vetalkatha_L782,prose,भवान् मित्रद्रोही।
vetalkatha_vetalkatha_L783,prose,भवतः पिता राजा।
vetalkatha_vetalkatha_L784,prose,चारुमत्याः पिता मन्त्री।
vetalkatha_vetalkatha_L785,prose,अतः भवतः इच्छा पूरिता भविष्यति।
vetalkatha_vetalkatha_L786,prose,भवान् एतादृशः दुष्टः इति मया न ज्ञातम् आसीत्।
vetalkatha_vetalkatha_L787,prose,यदि भवति क्षात्रधर्मः अस्ति तर्हि इदानीम् एव भवान् मया सह बाहुयुद्धम् करोतु।
vetalkatha_vetalkatha_L788,prose,अधिकारबलात् तरुण्याः परिणयेन किम् वा साध्यते भवता? न किमपि।
vetalkatha_vetalkatha_L789,prose,"मया सह युद्धम् कृत्वा स्वबाहुबलम् प्रमाणीकृत्य ताम् परिणयतु"" इति वदन् युद्धार्थम् आहूतवान्।"
vetalkatha_vetalkatha_L790,prose,चारुमती एतत् सर्वम् पश्यन्ती अपि अपश्यन्ती इव निर्लिप्ता सती उपविष्टवती आसीत्।
vetalkatha_vetalkatha_L791,prose,"हिमकरः कोपस्य निग्रहणम् कुर्वन्, 'अल्पे एव काले भद्रवर्मणः कोपः शान्तः भवेत्' इति चिन्तयन् मौनम् स्थितवान्।"
vetalkatha_vetalkatha_L792,prose,परन्तु भद्रवर्मा क्रोधेन खड्गम् कोषात् आकृष्य युद्धार्थम् सिद्धः अभवत्।
vetalkatha_vetalkatha_L793,prose,'इतः परम् तूष्णीम् स्थित्वा न किमपि प्रयोजनम्' इति विचिन्त्य हिमकरः पूर्वतनघटनाः सर्वाः स्मरन् भद्रवर्मणः मणिबन्धम् दृढम् गृहीतवान्।
vetalkatha_vetalkatha_L794,prose,परन्तु भद्रवर्मा अपि आवेशेन तस्य उपरि आक्रमणम् कर्तुम् प्रयत्नम् कृतवान्।
vetalkatha_vetalkatha_L795,prose,तदा उडुपः जले निमज्जितः।
vetalkatha_vetalkatha_L796,prose,प्रथमम् एव नद्याम् पतिता चारुमती पृष्ठतः अदृष्ट्वा तीरम् प्रति तरितुम् उद्युक्ता।
vetalkatha_vetalkatha_L797,prose,हिमकरेण सह भद्रवर्मा अपि जले पतितवान्।
vetalkatha_vetalkatha_L798,prose,भद्रवर्मणः कारणतः एव एतत् सर्वम् प्रवृत्तम् इति हिमकरः यदा चिन्तयन् आसीत् तदा उडुपस्य अग्रभागे तस्य शिरसः घट्टनम् जातम्।
vetalkatha_vetalkatha_L799,prose,एतस्मात् सः मूर्च्छितः जातः।
vetalkatha_vetalkatha_L800,prose,यदा सः सचेतनः जातः तदा भद्रवर्मा हिमकरस्य उदरम् नुदन् तेन पीतम् जलम् बहिः आनेतुम् प्रयतमानः आसीत्।
vetalkatha_vetalkatha_L801,prose,तस्य पार्श्वे एव चारुमती आसीत्।
vetalkatha_vetalkatha_L802,prose,हिमकरः यदा उत्थितवान् तदा भद्रवर्मा कोपेन तम् दृष्ट्वा वेगेन ततः निर्गतवान्।
vetalkatha_vetalkatha_L803,prose,"तदा चारुमती हिमकरम् उक्तवती - ""भवान् उत्तमम् तरणम् जानाति चेदपि किमर्थम् शिरसः घट्टनम् प्राप्तवान् इति अस्य कारणम् विवृण्वन् भद्रवर्मा रहस्यम् एकम् माम् उक्तवान् - 'मयि विद्यमानया कयाचित् अगोचरशक्त्या मम शत्रवः कष्टम् अनुभवन्ति' इति।"
vetalkatha_vetalkatha_L804,prose,"कदाचित् शत्रूणाम् मरणम् अपि भवेत् इति सः माम् उक्तवान्"" इति।"
vetalkatha_vetalkatha_L805,prose,एतत् श्रुत्वा हिमकरः चारुमतीम् किमपि प्रष्टुम् यावत् उद्युक्तः तावता एव सा ततः वेगेन गतवती।
vetalkatha_vetalkatha_L806,prose,"एतदनन्तरम् हिमकरः पुनः अन्तःपुरम् गत्वा पितरम् उक्तवान् - ""इदानीम् विवाहस्य इच्छा न अस्ति।"
vetalkatha_vetalkatha_L807,prose,"किञ्चित्कालम् यावत् देशपर्यटनम् करोमि"" इति।"
vetalkatha_vetalkatha_L808,prose,अनन्तरम् पितुः अनुज्ञाम् प्राप्तवान् सः देशपर्यटनार्थम् गतवान्।
vetalkatha_vetalkatha_L809,prose,"वेतालः एवम्  कथाम्  समाप्य अवदत् - ""भोः राजन्! हिमकरस्य एतादृशविचित्रव्यवहारस्य अन्तरङ्गम्  किम् अस्ति? किमर्थम्  सः विवाहार्थम् अनुमतिम् दत्त्वा अपि अन्ते देशपर्यटनार्थम्  गतवान्? 'यदि अहम् चारुमतीम्  वृणोमि तर्हि भद्रवर्मणः अगोचरी शक्तिः माम् बाधेत' इति चिन्तयन् सः भीतः वा? अथवा भद्रवर्मा माम्  रक्षितवान् इति कृतज्ञताभावनया चारुमत्याः परिणयविचारम्  परित्यक्तवान् वा सः? अथवा परिणयप्रस्तावनिराकारस्य अन्यत् एव विशिष्टम्  कारणम्  स्यात् वा? एतादृशसन्देहानाम् उत्तरम्  भवान् जानन् अपि यदि न वदेत् तर्हि भवतः शिरः सहस्रधा भग्नम्  भवेत्"" इति।"
vetalkatha_vetalkatha_L810,prose,"तदा त्रिविक्रमः मौनम् स्थातुम् अशक्तः सन् - ""अत्र अन्यत् किमपि कारणम् न अस्ति।"
vetalkatha_vetalkatha_L811,prose,पूर्वम् हिमकरः स्वस्मिन् विद्यमानायाम् अगोचरशक्त्याम् विश्वसितवान् आसीत्।
vetalkatha_vetalkatha_L812,prose,अतः भद्रवर्मणा सह यदा कलहः प्रवर्तमानः आसीत् तदा हिमकरः चिन्तितवान् आसीत् यत् भद्रवर्मा जले निमज्जेत् इति।
vetalkatha_vetalkatha_L813,prose,परन्तु स्वयम् एव जले निमज्जितः अभवत्।
vetalkatha_vetalkatha_L814,prose,अतः अगोचरशक्त्याः विषये तस्य विश्वासः अपगतः।
vetalkatha_vetalkatha_L815,prose,यः अगोचरशक्तौ एव न विश्वसिति सः कथम् वा भावयेत् यत् अन्यस्मिन् सा अस्ति इति? अतः एतत् तु सिद्धम् यत् भद्रवर्मतः हिमकरः भीतः न इति।
vetalkatha_vetalkatha_L816,prose,'चारुमती मयि अनुरागवती' इति हिमकरः चिन्तितवान् आसीत्।
vetalkatha_vetalkatha_L817,prose,किन्तु नौकातः पतिता चारुमती कस्यापि अपायम् अचिन्तयन्ती स्वप्राणरक्षार्थम् तीरम् यदा गतवती तदा हिमकरः निर्णीतवान् यत् चारुमती मयि अनुरागवती न इति।
vetalkatha_vetalkatha_L818,prose,अतः सः चारुमत्याः परिणयविचारम् परित्यक्तवान्।
vetalkatha_vetalkatha_L819,prose,पितरम् उक्तवान् यत् अहम् देशपर्यटनम् कर्तुम् इच्छामि इति।
vetalkatha_vetalkatha_L820,prose,"एवम् चारुमत्याम् तस्य अनुरागः एव न आसीत् इत्यतः 'प्राणान् रक्षितवतः भद्रवर्मणः निमित्तम् चारुमतीविषयकम् अनुरागम् परित्यक्तवान्' इति चिन्तनम् अपि सर्वथा अयुक्तम् एव"" इति।"
vetalkatha_vetalkatha_L821,prose,एवम् वदतः राज्ञः मौनभङ्गः यदा जातः तदा शवान्तर्गतः वेतालः ततः अदृश्यः भूत्वा यथापूर्वम् वृक्षस्य शाखाम् अवलम्बितवान्।
vetalkatha_vetalkatha_L822,title,6.गन्धर्वगानम् (10/96)
vetalkatha_vetalkatha_L823,prose,आरब्धम् कार्यम् परित्यक्तुम् अनिच्छन् त्रिविक्रमः पुनरपि वृक्षस्य समीपम् गत्वा शाखायाम् लम्बमानम् शवम् स्कन्धे आरोप्य यथापूर्वम् श्मशानाभिमुखम् प्रस्थितवान्।
vetalkatha_vetalkatha_L824,prose,"तदा शवान्तर्गतः वेतालः अवदत् - ""हे राजन्! एतादृशे अन्धकारे भवता किम्  साधनीयम् इति कठोरदीक्षा स्वीकृता इत्यंशः मया तु न ज्ञायते।"
vetalkatha_vetalkatha_L825,prose,"राज्यपालकः भवान् स्वस्मात् अधिकम्  शक्तिशालिनम् अपरम्  महाराजम्  सम्मुखीकर्तुम् इच्छन् अगोचरशक्तिसम्पादनार्थम्  प्रयत्नम्  करोति, उत अन्यान् महाराजान् सर्वान् जित्वा चक्रवर्ती भवितुम् इच्छति? यः लौकिकसुखम् , ख्यातिम्  च इच्छति तेन वास्तविकजीवनम् अपि चिन्तनीयम् अस्ति।"
vetalkatha_vetalkatha_L826,prose,"हितम् किम्, अहितम् किम् इति ज्ञातुम्  तस्य विवेचनाशक्तिः आवश्यकी।"
vetalkatha_vetalkatha_L827,prose,"अन्यथा यः अध्यात्मचिन्तने, तात्त्विकविषये च आसक्तः भवति सः आत्मना कष्टेन सम्पादितम् अपि अन्येभ्यः दत्तवान् भवति कदाचित्।"
vetalkatha_vetalkatha_L828,prose,अत्र उदाहरणरूपेण देवशर्मनामकस्य युवकस्य कथाम् श्रावयामि।
vetalkatha_vetalkatha_L829,prose,"मार्गायासपरिहारार्थम् ताम् श्रद्धया शृणोतु तावत्"" इति।"
vetalkatha_vetalkatha_L830,prose,अनन्तरम् वेतालेन कथा आरब्धा –
vetalkatha_vetalkatha_L831,prose,देवशर्मा नाम युवकः विशालदेशे कस्मिंश्चित् कुग्रामे आसीत्।
vetalkatha_vetalkatha_L832,prose,तस्य सङ्गीतविदुषाम् परिवारः आसीत्।
vetalkatha_vetalkatha_L833,prose,"तस्य पितामहः वीणावादने, पिता गीतगाने च प्रसिद्धौ आस्ताम्।"
vetalkatha_vetalkatha_L834,prose,अतः बाल्यतः एव देवशर्मणः सङ्गीते आसक्तिः वर्धिता।
vetalkatha_vetalkatha_L835,prose,तस्य बाल्ये एव मातापितरौ दिवङ्गतौ।
vetalkatha_vetalkatha_L836,prose,"अतः देवशर्मा स्वगृहे स्थितानाम् ताडपत्राणाम् अध्ययनम्, सङ्गीताभ्यासम् च कुर्वन् अपारम् सङ्गीतज्ञानम् सम्पादितवान्।"
vetalkatha_vetalkatha_L837,prose,एवम् सति अनिरीक्षिततया विशालदेशस्य आस्थानसङ्गीतविद्वान् दिवङ्गतः।
vetalkatha_vetalkatha_L838,prose,"सङ्गीतस्पर्धाम् आयोज्य, तत्र एतावत्पर्यन्तम् अपि येन केनापि अश्रुतम् रागम् यः गायति सः आस्थानपण्डितस्थाने योजनीयः इति महाराजः निर्णीतवान्।"
vetalkatha_vetalkatha_L839,prose,अतः 'राजधान्याम् आयोजितायाम् सङ्गीतस्पर्धायाम् सर्वे भागम् वहेयुः' इति राजा देशे सर्वत्र उद्घोषणम् कारितवान्।
vetalkatha_vetalkatha_L840,prose,उद्घोषणस्य वार्ताम् ज्ञात्वा देवशर्मा चिन्तितवान् यत् जनानाम् पुरतः मम प्रतिभाम् प्रदर्शयितुम् एषः योग्यः अवकाशः प्राप्तः इति।
vetalkatha_vetalkatha_L841,prose,अतः सः राजधानीम् प्रति प्रस्थितवान्।
vetalkatha_vetalkatha_L842,prose,अनन्तरदिने मध्याह्नसमये कञ्चित् अग्रहारम् प्राप्तवान् च।
vetalkatha_vetalkatha_L843,prose,तत्र सः कश्यपनामकस्य कस्यचित् वृद्धस्य गृहे आश्रयम् प्राप्तवान्।
vetalkatha_vetalkatha_L844,prose,तस्य वृद्धस्य पौत्री काचित् आसीत्।
vetalkatha_vetalkatha_L845,prose,सः वृद्धः अपि सङ्गीतविद्वान् एव।
vetalkatha_vetalkatha_L846,prose,सङ्गीतस्पर्धार्थम् देवशर्मा राजधानीम् प्रति प्रस्थितः इति अंशम् ज्ञात्वा 'गायतु' इति तम् उक्तवान् कश्यपः।
vetalkatha_vetalkatha_L847,prose,तदनुगुणम् गीतवान् देवशर्मा।
vetalkatha_vetalkatha_L848,prose,देवशर्मणः गीतम् श्रुत्वा नितराम् सन्तुष्टः कश्यपः तम् आलिङ्गितवान्।
vetalkatha_vetalkatha_L849,prose,"""अहम् भवतः पितामहस्य विषये श्रुतवान् अस्मि।"
vetalkatha_vetalkatha_L850,prose,"सङ्गीतक्षेत्रे तत्सदृशः विद्वान् अपरः कोऽपि न अस्ति"" इति उक्त्वा क्षणम् यावत् विचिन्त्य - ""अहम्  अपि कञ्चित् अपूर्वम् रागम् जानामि"" इति उक्तवान् कश्यपः।"
vetalkatha_vetalkatha_L851,prose,अनन्तरम् तस्य रागस्य कथाम् आरब्धवान् च –
vetalkatha_vetalkatha_L852,prose,"""अहम् गुरुकुले पठामि स्म।"
vetalkatha_vetalkatha_L853,prose,एकदा समिधः निमित्तम् अहम् अरण्ये अटन् आसम्।
vetalkatha_vetalkatha_L854,prose,तदा अहम् कस्यचित् मधुरम् स्वरम् श्रुतवान्।
vetalkatha_vetalkatha_L855,prose,आरम्भे कस्यचित् पक्षिणः स्वरः इति अहम् चिन्तितवान्।
vetalkatha_vetalkatha_L856,prose,अनन्तरम् अभासत यत् सहस्रभ्रमराणाम् झेङ्कारस्वरः एषः इति।
vetalkatha_vetalkatha_L857,prose,अहम् कुतूहलेन तम् स्वरम् अनुसृत्य गच्छन् कस्यचित् मुनेः आश्रमम् प्राप्तवान्।
vetalkatha_vetalkatha_L858,prose,तत्र मुनेः पुत्री पुष्पमालाम् रचयन्ती तन्मयतया गायन्ती आसीत्।
vetalkatha_vetalkatha_L859,prose,"मम आगमनम् दृष्ट्वा सा गानम् स्थगितवती।"""
vetalkatha_vetalkatha_L860,prose,मम जीवने कदापि तादृशम् अपूर्वम् सङ्गीतम् मया न श्रुतम् आसीत्।
vetalkatha_vetalkatha_L861,prose,अतः अहम् मुनिम् नमस्कृत्य 'तम् रागम् माम् पाठयतु' इति प्रार्थितवान्।
vetalkatha_vetalkatha_L862,prose,"तदा मुनिः माम् गानविषयम् उक्तवान् - ""वत्स! एषः लोकातीतः अपूर्वः रागः अस्ति।"
vetalkatha_vetalkatha_L863,prose,सामान्यतः पञ्चषेभ्यः शतकेभ्यः पूर्वम् अस्माकम् पूर्वजः कश्चित् गन्धावृतपर्वतस्य उपरि तपः कर्तुम् गतवान् आसीत्।
vetalkatha_vetalkatha_L864,prose,एकदा तपः कुर्वता तेन अश्रुतपूर्वस्य रागस्य गीतम् श्रुतम्।
vetalkatha_vetalkatha_L865,prose,प्रजापालनामकः कश्चित् गन्धर्वः तत् गीतम् गायन् आकाशात् तत्रैव स्थितस्य सरोवरस्य समीपम् अवतीर्णवान्।
vetalkatha_vetalkatha_L866,prose,"अस्माकम् पूर्वजः तत् श्रुत्वा तन्मयः सन् गन्धर्वम् उक्तवान् - ""महानुभाव! इदानीम् येन रागेण भवता गीतम् सः रागः अपूर्वः अस्ति।"
vetalkatha_vetalkatha_L867,prose,एकवारम् एव श्रुत्वा अहम् तम्  रागम्  कण्ठस्थीकृतवान्।
vetalkatha_vetalkatha_L868,prose,"कृतज्ञः अहम्।"" इति।"
vetalkatha_vetalkatha_L869,prose,"एतस्मात् कुपितः गन्धर्वः - ""भवान् यत् उक्तवान् तत् सत्यम् अस्ति।"
vetalkatha_vetalkatha_L870,prose,"परन्तु एतम् रागम् अन्यम् यदि भवान् पाठयिष्यति तर्हि तत्क्षणे एव भवता सः रागः विस्मृतः भविष्यति"" इति शापम् दत्त्वा ततः अदृश्यताम् गतः।"
vetalkatha_vetalkatha_L871,prose,"एवंप्रकारेण तम्  गन्धर्वरागम्  मम वंशे पारम्परिकक्रमेण कश्चित् जानाति एव।"""
vetalkatha_vetalkatha_L872,prose,"एवम्  कथाम् उक्त्वा कश्यपः - ""वत्स! अहम् यम् रागम् जानामि तम् ज्ञातुम् अन्यस्य कस्यापि अवकाशः एव न अस्ति।"
vetalkatha_vetalkatha_L873,prose,"एतम्  रागम्  यः गायति तम् महाराजः निश्चयेन आस्थानसङ्गीतपण्डितस्थाने नियोजयिष्यति"" इति वदन् गन्धर्वरागस्य किञ्चित् आलापनम् कृत्वा स्थगितवान्।"
vetalkatha_vetalkatha_L874,prose,तस्य रागालापनसमये देवशर्मा तन्मयः आसीत्।
vetalkatha_vetalkatha_L875,prose,तादृशम् मधुरम् सङ्गीतम् देवशर्मा इतः पूर्वम् कदापि न श्रुतवान् आसीत्।
vetalkatha_vetalkatha_L876,prose,"सः कश्यपम् नमस्कुर्वन् - ""स्वामिन्! भवान् मध्ये एव किमर्थम् गानम् स्थगितवान्? एतस्य रागस्य लक्षणम् किम्? स्वरयोजनम् कथम्? सम्पूर्णम् आलापनम् करोतु तावत्"" इति प्रार्थितवान्।"
vetalkatha_vetalkatha_L877,prose,"""वत्स! त्वराम् मा करोतु।"
vetalkatha_vetalkatha_L878,prose,यदि तम् रागम् भवन्तम् बोधयिष्यामि तर्हि अनुक्षणम् एव अहम् तम् रागम् विस्मरिष्यामि।
vetalkatha_vetalkatha_L879,prose,सङ्गीतम् एव मम सम्पत्तिः अस्ति।
vetalkatha_vetalkatha_L880,prose,"मम पौत्र्याः विवाहदायित्वम्  मम अस्ति"" इति वदन् कश्यपः दूरे स्थिताम् पौत्रीम् दर्शितवान्।"
vetalkatha_vetalkatha_L881,prose,तदा लज्जिता पौत्री गृहस्य अन्तः गतवती।
vetalkatha_vetalkatha_L882,prose,"देवशर्मा क्षणम् यावत् विचिन्त्य - ""स्वामिन्! राजधानीगमनार्थम् त्रीणि दिनानि अवशिष्टानि सन्ति।"
vetalkatha_vetalkatha_L883,prose,अहम् कञ्चित् विषयम् विस्मृतवान्।
vetalkatha_vetalkatha_L884,prose,"अतः मम ग्रामम् गत्वा आगमिष्यामि"" इति वदन् ग्रामम् प्रति प्रस्थितवान्।"
vetalkatha_vetalkatha_L885,prose,कश्यपस्य रागालापनम् एव देवशर्मणः कर्णयोः गुञ्जति स्म।
vetalkatha_vetalkatha_L886,prose,तस्य रागस्य लक्षणम् कुत्रापि लभ्यते वा इति सः गृहे सर्वत्र अन्विष्टवान्।
vetalkatha_vetalkatha_L887,prose,पुरातनताडपत्राणि सर्वाणि दृष्टानि।
vetalkatha_vetalkatha_L888,prose,परन्तु तस्य प्रयत्नः व्यर्थः जातः।
vetalkatha_vetalkatha_L889,prose,कश्यपः एकः एव तम् अपूर्वम् रागम् जानाति स्म।
vetalkatha_vetalkatha_L890,prose,देवशर्मा पुनः कश्यपस्य समीपम् आगतवान्।
vetalkatha_vetalkatha_L891,prose,कश्यपः देवशर्माणम् पुरतः उपवेश्य यदा पौत्रीम् वाद्यम् वादयन्ती आसीत् तदा गन्धर्वरागेण गीतवान्।
vetalkatha_vetalkatha_L892,prose,तस्य रागस्य लक्षणम् बोधितवान् च।
vetalkatha_vetalkatha_L893,prose,देवशर्मा पुनः प्रयत्नम् कृत्वा तेन रागेण गीतवान्।
vetalkatha_vetalkatha_L894,prose,"तत् श्रुत्वा कश्यपः, तस्य पौत्री च स्तम्भीभूतौ।"
vetalkatha_vetalkatha_L895,prose,देवशर्मणः अपि पुनर्जन्म प्राप्तम् इव अभवत्।
vetalkatha_vetalkatha_L896,prose,तस्य मुखम् अपि प्रकाशमानम् दृश्यते स्म।
vetalkatha_vetalkatha_L897,prose,"देवशर्मणः आनन्दम् उद्वेगम्  च दृष्ट्वा कश्यपस्य पौत्री उक्तवती - ""मम पितामहः मम निमित्तम् एव सङ्गीतसम्पत्तिम्  रक्षितवान् इव, 'मम पौत्रीम्  यः वरिष्यति तम् एव अपूर्वम् रागम् बोधयिष्यामि' इति सूचयन् इव च भवता सह सम्भाषणम् कृतवान् अस्ति।"
vetalkatha_vetalkatha_L898,prose,भवान् यदा ग्रामम् प्रति गतवान् आसीत् तदा 'मम विवाहविषयम् मा गोपयतु' इति पितामहम् अहम् उक्तवती।
vetalkatha_vetalkatha_L899,prose,तत् वचनम् पितामहः अङ्गीकृतवान् अस्ति।
vetalkatha_vetalkatha_L900,prose,"अतः भवान् माम् परिणयेत् एव इति नियमः न अस्ति"" इति।"
vetalkatha_vetalkatha_L901,prose,"""भवत्याः परिणये मम कापि आपत्तिः न अस्ति।"
vetalkatha_vetalkatha_L902,prose,भवत्याः तादृशी आपत्तिः अस्ति चेत् सूचयतु।
vetalkatha_vetalkatha_L903,prose,"यतः अहम् तु सङ्गीतस्पर्धार्थम् राजधानीम् न गमिष्यामि इति निश्चितवान्"" इति हसन् उक्तवान् देवशर्मा।"
vetalkatha_vetalkatha_L904,prose,"वेतालः एवम् कथाम् समाप्य अवदत् - ""हे राजन्! लौकिकसुखार्थम्, कीर्तेः प्राप्त्यर्थम् च देवशर्मा सङ्गीतस्पर्धायाम् भागम् गृहीत्वा आस्थानविद्वान् भवितुम् इष्टवान् खलु? अत एव सः कश्यपस्य द्वारा अपूर्वम् गन्धर्वरागम् ज्ञातवान्।"
vetalkatha_vetalkatha_L905,prose,पितामहः रागम् बोधितवान् इति कारणतः कश्यपस्य पौत्री अपि स्वविवाहविषये देवशर्मणः निर्बन्धम् न कृतवती।
vetalkatha_vetalkatha_L906,prose,"तथापि देवशर्मा राजधानीगमनविचारम्  किमर्थम्  परित्यक्तवान्? गृहस्थजीवनस्य साधकबाधकम्  विस्मृत्य मानसिकदौर्बल्यकारणतः विशिष्टम्  रागम् ज्ञात्वा अपि स्पर्धार्थम्  गमनस्य विचारम्  देवशर्मा परित्यक्तवान् यत् तत् अज्ञानम् एव खलु द्योतयति? मम एतेषाम्  सन्देहानाम् उत्तरम्  ज्ञात्वा अपि न वदेत् तर्हि भवतः शिरः सहस्रधा भग्नम्  भवेत्"" इति।"
vetalkatha_vetalkatha_L907,prose,"तदा मौनम् स्थातुम् अशक्तः त्रिविक्रमः - ""यः उत्तमः कलावित् सः लौकिकसुखार्थम्, धनसम्पत्तेः निमित्तम् वा स्पर्धायाम् भागम् न वहति।"
vetalkatha_vetalkatha_L908,prose,देवशर्मणः सङ्गीतविदुषाम् वंशः।
vetalkatha_vetalkatha_L909,prose,तस्य पितामहः प्रपितामहः च अपि राजाश्रयम् न इष्टवन्तौ आस्ताम्।
vetalkatha_vetalkatha_L910,prose,तादृशकुटुम्बे देवशर्मा जन्म प्राप्य सङ्गीतस्पर्धायाम् भागम् गृहीत्वा आस्थानविद्वान् भवितुम् यत् इष्टवान् तत् तस्य बलहीनताम् दर्शयति इति तु सत्यम् एव।
vetalkatha_vetalkatha_L911,prose,परन्तु कश्यपद्वारा गन्धर्वरागम् श्रुत्वा अपूर्वानन्दम् यदा सः अनुभूतवान् तदा सः चिन्तितवान् यत् अपूर्वरागेण स्पर्धायाम् गीत्वा अन्येषाम् कृते तस्य दानम् अपराधः इति।
vetalkatha_vetalkatha_L912,prose,कलोपासकः आत्मानन्दम् एव सर्वश्रेष्ठम् भावयति।
vetalkatha_vetalkatha_L913,prose,यदा आत्मानन्दः प्राप्यते तदा सः अन्यविधलाभान् सर्वान् तृणाय मन्यते।
vetalkatha_vetalkatha_L914,prose,देवशर्मा तु श्रेष्ठः कलावित्।
